Epoch,State,Count
0,Susceptible,40
0,Infectious,49
0,Recovered,10
1,Susceptible,20
1,Infectious,40
1,Recovered,39
2,Susceptible,22
2,Infectious,31
2,Recovered,46
3,Susceptible,22
3,Infectious,31
3,Recovered,45
4,Susceptible,21
4,Infectious,31
4,Recovered,46
5,Susceptible,22
5,Infectious,30
5,Recovered,47
6,Susceptible,22
6,Infectious,29
6,Recovered,47
7,Susceptible,22
7,Infectious,30
7,Recovered,47
8,Susceptible,22
8,Infectious,30
8,Recovered,47
9,Susceptible,22
9,Infectious,29
9,Recovered,47
10,Susceptible,22
10,Infectious,29
10,Recovered,47
11,Susceptible,22
11,Infectious,29
11,Recovered,47
12,Susceptible,22
12,Infectious,29
12,Recovered,47
13,Susceptible,22
13,Infectious,29
13,Recovered,47
14,Susceptible,22
14,Infectious,29
14,Recovered,47
15,Susceptible,22
15,Infectious,29
15,Recovered,47
16,Susceptible,22
16,Infectious,29
16,Recovered,47
17,Susceptible,22
17,Infectious,29
17,Recovered,47
18,Susceptible,22
18,Infectious,29
18,Recovered,47
19,Susceptible,22
19,Infectious,29
19,Recovered,47
20,Susceptible,22
20,Infectious,29
20,Recovered,47
21,Susceptible,22
21,Infectious,29
21,Recovered,47
22,Susceptible,22
22,Infectious,29
22,Recovered,47
23,Susceptible,22
23,Infectious,29
23,Recovered,47
24,Susceptible,22
24,Infectious,29
24,Recovered,47
25,Susceptible,22
25,Infectious,29
25,Recovered,47
26,Susceptible,22
26,Infectious,29
26,Recovered,47
27,Susceptible,22
27,Infectious,30
27,Recovered,47
28,Susceptible,22
28,Infectious,29
28,Recovered,47
29,Susceptible,22
29,Infectious,29
29,Recovered,47
30,Susceptible,22
30,Infectious,29
30,Recovered,47
31,Susceptible,22
31,Infectious,30
31,Recovered,47
32,Susceptible,22
32,Infectious,29
32,Recovered,47
33,Susceptible,22
33,Infectious,30
33,Recovered,47
34,Susceptible,22
34,Infectious,29
34,Recovered,47
35,Susceptible,22
35,Infectious,29
35,Recovered,47
36,Susceptible,22
36,Infectious,29
36,Recovered,47
37,Susceptible,22
37,Infectious,30
37,Recovered,47
38,Susceptible,22
38,Infectious,30
38,Recovered,47
39,Susceptible,22
39,Infectious,29
39,Recovered,47
40,Susceptible,22
40,Infectious,29
40,Recovered,47
41,Susceptible,22
41,Infectious,29
41,Recovered,47
42,Susceptible,22
42,Infectious,29
42,Recovered,47
43,Susceptible,22
43,Infectious,30
43,Recovered,47
44,Susceptible,22
44,Infectious,30
44,Recovered,47
45,Susceptible,22
45,Infectious,29
45,Recovered,47
46,Susceptible,22
46,Infectious,29
46,Recovered,47
47,Susceptible,22
47,Infectious,30
47,Recovered,47
48,Susceptible,22
48,Infectious,30
48,Recovered,47
49,Susceptible,22
49,Infectious,29
49,Recovered,47
50,Susceptible,22
50,Infectious,29
50,Recovered,47
51,Susceptible,22
51,Infectious,29
51,Recovered,47
52,Susceptible,22
52,Infectious,29
52,Recovered,47
53,Susceptible,22
53,Infectious,29
53,Recovered,47
54,Susceptible,22
54,Infectious,29
54,Recovered,47
55,Susceptible,22
55,Infectious,29
55,Recovered,47
56,Susceptible,22
56,Infectious,29
56,Recovered,47
57,Susceptible,22
57,Infectious,30
57,Recovered,47
58,Susceptible,22
58,Infectious,29
58,Recovered,47
59,Susceptible,22
59,Infectious,29
59,Recovered,47
60,Susceptible,22
60,Infectious,29
60,Recovered,47
61,Susceptible,22
61,Infectious,29
61,Recovered,47
62,Susceptible,22
62,Infectious,30
62,Recovered,47
63,Susceptible,22
63,Infectious,29
63,Recovered,47
64,Susceptible,22
64,Infectious,29
64,Recovered,47
65,Susceptible,22
65,Infectious,29
65,Recovered,47
66,Susceptible,22
66,Infectious,29
66,Recovered,47
67,Susceptible,22
67,Infectious,29
67,Recovered,47
68,Susceptible,22
68,Infectious,29
68,Recovered,47
69,Susceptible,22
69,Infectious,29
69,Recovered,47
70,Susceptible,22
70,Infectious,29
70,Recovered,47
71,Susceptible,22
71,Infectious,29
71,Recovered,47
72,Susceptible,22
72,Infectious,29
72,Recovered,47
73,Susceptible,22
73,Infectious,30
73,Recovered,47
74,Susceptible,22
74,Infectious,29
74,Recovered,47
75,Susceptible,22
75,Infectious,29
75,Recovered,47
76,Susceptible,22
76,Infectious,29
76,Recovered,47
77,Susceptible,22
77,Infectious,29
77,Recovered,47
78,Susceptible,22
78,Infectious,29
78,Recovered,47
79,Susceptible,22
79,Infectious,29
79,Recovered,47
80,Susceptible,22
80,Infectious,29
80,Recovered,47
81,Susceptible,22
81,Infectious,30
81,Recovered,47
82,Susceptible,22
82,Infectious,30
82,Recovered,47
83,Susceptible,22
83,Infectious,29
83,Recovered,47
84,Susceptible,22
84,Infectious,29
84,Recovered,47
85,Susceptible,22
85,Infectious,29
85,Recovered,47
86,Susceptible,22
86,Infectious,29
86,Recovered,47
87,Susceptible,22
87,Infectious,29
87,Recovered,47
88,Susceptible,22
88,Infectious,30
88,Recovered,47
89,Susceptible,22
89,Infectious,29
89,Recovered,47
90,Susceptible,22
90,Infectious,29
90,Recovered,47
91,Susceptible,22
91,Infectious,29
91,Recovered,47
92,Susceptible,22
92,Infectious,29
92,Recovered,47
93,Susceptible,22
93,Infectious,29
93,Recovered,47
94,Susceptible,22
94,Infectious,29
94,Recovered,47
95,Susceptible,22
95,Infectious,29
95,Recovered,47
96,Susceptible,22
96,Infectious,30
96,Recovered,47
97,Susceptible,22
97,Infectious,30
97,Recovered,47
98,Susceptible,22
98,Infectious,30
98,Recovered,47
99,Susceptible,22
99,Infectious,30
99,Recovered,47
