Epoch,State,Count
Epoch,State,Count
Epoch,State,Count
113,Susceptible,19
113,Infectious,54
113,Recovered,26
114,Susceptible,20
114,Infectious,53
114,Recovered,25
115,Susceptible,20
115,Infectious,54
115,Recovered,25
116,Susceptible,21
116,Infectious,52
116,Recovered,25
117,Susceptible,21
117,Infectious,50
117,Recovered,27
118,Susceptible,23
118,Infectious,52
118,Recovered,24
119,Susceptible,22
119,Infectious,52
119,Recovered,25
120,Susceptible,20
120,Infectious,56
120,Recovered,23
121,Susceptible,19
121,Infectious,55
121,Recovered,25
122,Susceptible,19
122,Infectious,55
122,Recovered,25
123,Susceptible,17
123,Infectious,57
123,Recovered,25
124,Susceptible,16
124,Infectious,57
124,Recovered,26
125,Susceptible,16
125,Infectious,56
125,Recovered,27
126,Susceptible,17
126,Infectious,54
126,Recovered,27
127,Susceptible,19
127,Infectious,54
127,Recovered,25
128,Susceptible,18
128,Infectious,55
128,Recovered,26
129,Susceptible,18
129,Infectious,54
129,Recovered,26
130,Susceptible,17
130,Infectious,56
130,Recovered,25
131,Susceptible,18
131,Infectious,55
131,Recovered,26
132,Susceptible,18
132,Infectious,56
132,Recovered,24
133,Susceptible,18
133,Infectious,56
133,Recovered,25
134,Susceptible,18
134,Infectious,54
134,Recovered,26
135,Susceptible,18
135,Infectious,56
135,Recovered,25
136,Susceptible,18
136,Infectious,55
136,Recovered,26
137,Susceptible,19
137,Infectious,54
137,Recovered,25
138,Susceptible,19
138,Infectious,53
138,Recovered,26
139,Susceptible,18
139,Infectious,55
139,Recovered,25
140,Susceptible,18
140,Infectious,56
140,Recovered,25
141,Susceptible,19
141,Infectious,55
141,Recovered,24
142,Susceptible,19
142,Infectious,55
142,Recovered,24
143,Susceptible,19
143,Infectious,55
143,Recovered,25
144,Susceptible,19
144,Infectious,54
144,Recovered,25
145,Susceptible,20
145,Infectious,55
145,Recovered,24
146,Susceptible,20
146,Infectious,53
146,Recovered,26
147,Susceptible,19
147,Infectious,54
147,Recovered,26
148,Susceptible,19
148,Infectious,53
148,Recovered,26
149,Susceptible,20
149,Infectious,53
149,Recovered,25
150,Susceptible,20
150,Infectious,54
150,Recovered,25
151,Susceptible,19
151,Infectious,55
151,Recovered,25
152,Susceptible,20
152,Infectious,53
152,Recovered,25
153,Susceptible,19
153,Infectious,56
153,Recovered,24
154,Susceptible,18
154,Infectious,57
154,Recovered,24
155,Susceptible,18
155,Infectious,54
155,Recovered,27
156,Susceptible,20
156,Infectious,52
156,Recovered,26
157,Susceptible,21
157,Infectious,53
157,Recovered,24
158,Susceptible,19
158,Infectious,53
158,Recovered,26
159,Susceptible,21
159,Infectious,53
159,Recovered,25
160,Susceptible,20
160,Infectious,54
160,Recovered,25
161,Susceptible,22
161,Infectious,54
161,Recovered,23
162,Susceptible,20
162,Infectious,53
162,Recovered,25
163,Susceptible,20
163,Infectious,54
163,Recovered,25
164,Susceptible,19
164,Infectious,56
164,Recovered,24
165,Susceptible,19
165,Infectious,54
165,Recovered,25
166,Susceptible,19
166,Infectious,55
166,Recovered,25
167,Susceptible,18
167,Infectious,55
167,Recovered,25
168,Susceptible,19
168,Infectious,53
168,Recovered,26
169,Susceptible,20
169,Infectious,55
169,Recovered,23
170,Susceptible,18
170,Infectious,55
170,Recovered,25
171,Susceptible,19
171,Infectious,54
171,Recovered,26
172,Susceptible,20
172,Infectious,53
172,Recovered,26
173,Susceptible,21
173,Infectious,51
173,Recovered,26
174,Susceptible,21
174,Infectious,53
174,Recovered,25
175,Susceptible,18
175,Infectious,55
175,Recovered,25
176,Susceptible,19
176,Infectious,53
176,Recovered,26
177,Susceptible,19
177,Infectious,53
177,Recovered,26
178,Susceptible,21
178,Infectious,53
178,Recovered,25
179,Susceptible,19
179,Infectious,55
179,Recovered,25
180,Susceptible,18
180,Infectious,55
180,Recovered,25
181,Susceptible,18
181,Infectious,55
181,Recovered,26
182,Susceptible,18
