Epoch,State,Count
0,Susceptible,38
0,Infectious,10
0,Recovered,50
1,Susceptible,14
1,Infectious,9
1,Recovered,76
2,Susceptible,8
2,Infectious,7
2,Recovered,83
3,Susceptible,7
3,Infectious,7
3,Recovered,85
4,Susceptible,6
4,Infectious,7
4,Recovered,85
5,Susceptible,6
5,Infectious,7
5,Recovered,86
6,Susceptible,6
6,Infectious,7
6,Recovered,86
7,Susceptible,6
7,Infectious,7
7,Recovered,86
8,Susceptible,6
8,Infectious,7
8,Recovered,86
9,Susceptible,6
9,Infectious,7
9,Recovered,86
10,Susceptible,6
10,Infectious,7
10,Recovered,86
11,Susceptible,6
11,Infectious,7
11,Recovered,86
12,Susceptible,6
12,Infectious,7
12,Recovered,86
13,Susceptible,6
13,Infectious,7
13,Recovered,86
14,Susceptible,6
14,Infectious,7
14,Recovered,86
15,Susceptible,6
15,Infectious,6
15,Recovered,86
16,Susceptible,6
16,Infectious,6
16,Recovered,86
17,Susceptible,6
17,Infectious,7
17,Recovered,86
18,Susceptible,6
18,Infectious,7
18,Recovered,86
19,Susceptible,6
19,Infectious,7
19,Recovered,86
20,Susceptible,6
20,Infectious,7
20,Recovered,86
21,Susceptible,6
21,Infectious,7
21,Recovered,86
22,Susceptible,6
22,Infectious,7
22,Recovered,86
23,Susceptible,6
23,Infectious,7
23,Recovered,86
24,Susceptible,6
24,Infectious,7
24,Recovered,86
25,Susceptible,6
25,Infectious,7
25,Recovered,86
26,Susceptible,6
26,Infectious,7
26,Recovered,86
27,Susceptible,6
27,Infectious,7
27,Recovered,86
28,Susceptible,6
28,Infectious,7
28,Recovered,86
29,Susceptible,6
29,Infectious,7
29,Recovered,86
30,Susceptible,6
30,Infectious,6
30,Recovered,86
31,Susceptible,6
31,Infectious,7
31,Recovered,86
32,Susceptible,6
32,Infectious,7
32,Recovered,86
33,Susceptible,6
33,Infectious,6
33,Recovered,86
34,Susceptible,6
34,Infectious,7
34,Recovered,86
35,Susceptible,6
