Epoch,State,Count
0,Susceptible,9
0,Infectious,10
0,Recovered,80
1,Susceptible,5
1,Infectious,9
1,Recovered,85
2,Susceptible,6
2,Infectious,7
2,Recovered,86
3,Susceptible,6
3,Infectious,6
3,Recovered,86
4,Susceptible,6
4,Infectious,6
4,Recovered,86
5,Susceptible,6
5,Infectious,6
5,Recovered,86
6,Susceptible,6
6,Infectious,6
6,Recovered,86
7,Susceptible,6
7,Infectious,6
7,Recovered,86
8,Susceptible,6
8,Infectious,6
8,Recovered,86
9,Susceptible,6
9,Infectious,6
9,Recovered,86
10,Susceptible,6
10,Infectious,6
10,Recovered,86
11,Susceptible,6
11,Infectious,6
11,Recovered,86
12,Susceptible,6
12,Infectious,6
12,Recovered,86
13,Susceptible,6
13,Infectious,6
13,Recovered,86
14,Susceptible,6
14,Infectious,6
14,Recovered,86
15,Susceptible,6
15,Infectious,6
15,Recovered,86
16,Susceptible,6
16,Infectious,6
16,Recovered,86
17,Susceptible,6
17,Infectious,6
17,Recovered,86
18,Susceptible,6
18,Infectious,6
18,Recovered,86
19,Susceptible,6
19,Infectious,6
19,Recovered,86
20,Susceptible,6
20,Infectious,6
20,Recovered,86
21,Susceptible,6
21,Infectious,6
21,Recovered,86
22,Susceptible,6
22,Infectious,6
22,Recovered,86
23,Susceptible,6
23,Infectious,6
23,Recovered,86
24,Susceptible,6
24,Infectious,6
24,Recovered,86
25,Susceptible,6
25,Infectious,6
25,Recovered,86
26,Susceptible,6
26,Infectious,6
26,Recovered,86
27,Susceptible,6
27,Infectious,6
27,Recovered,86
28,Susceptible,6
28,Infectious,6
28,Recovered,86
29,Susceptible,6
29,Infectious,6
29,Recovered,86
30,Susceptible,6
30,Infectious,6
30,Recovered,86
31,Susceptible,6
31,Infectious,6
31,Recovered,86
32,Susceptible,6
32,Infectious,6
32,Recovered,86
33,Susceptible,6
33,Infectious,6
33,Recovered,86
34,Susceptible,6
34,Infectious,6
34,Recovered,86
35,Susceptible,6
35,Infectious,6
35,Recovered,86
36,Susceptible,6
36,Infectious,6
36,Recovered,86
37,Susceptible,6
37,Infectious,6
37,Recovered,86
38,Susceptible,6
38,Infectious,6
38,Recovered,86
39,Susceptible,6
39,Infectious,6
39,Recovered,86
40,Susceptible,6
40,Infectious,6
40,Recovered,86
41,Susceptible,6
41,Infectious,6
41,Recovered,86
42,Susceptible,6
42,Infectious,6
42,Recovered,86
43,Susceptible,6
43,Infectious,6
43,Recovered,86
44,Susceptible,6
44,Infectious,6
44,Recovered,86
45,Susceptible,6
45,Infectious,6
45,Recovered,86
46,Susceptible,6
46,Infectious,6
46,Recovered,86
47,Susceptible,6
47,Infectious,6
47,Recovered,86
48,Susceptible,6
48,Infectious,6
48,Recovered,86
49,Susceptible,6
49,Infectious,6
49,Recovered,86
50,Susceptible,6
50,Infectious,6
50,Recovered,86
51,Susceptible,6
51,Infectious,6
51,Recovered,86
52,Susceptible,6
52,Infectious,6
52,Recovered,86
53,Susceptible,6
53,Infectious,6
53,Recovered,86
54,Susceptible,6
54,Infectious,6
54,Recovered,86
55,Susceptible,6
55,Infectious,6
55,Recovered,86
56,Susceptible,6
56,Infectious,6
56,Recovered,86
57,Susceptible,6
57,Infectious,6
57,Recovered,86
58,Susceptible,6
58,Infectious,6
58,Recovered,86
59,Susceptible,6
59,Infectious,6
59,Recovered,86
60,Susceptible,6
60,Infectious,6
60,Recovered,86
61,Susceptible,6
61,Infectious,6
61,Recovered,86
62,Susceptible,6
62,Infectious,6
62,Recovered,86
63,Susceptible,6
63,Infectious,6
63,Recovered,86
64,Susceptible,6
64,Infectious,6
64,Recovered,86
65,Susceptible,6
65,Infectious,6
65,Recovered,86
66,Susceptible,6
66,Infectious,6
66,Recovered,86
67,Susceptible,6
67,Infectious,6
67,Recovered,86
68,Susceptible,6
68,Infectious,6
68,Recovered,86
69,Susceptible,6
69,Infectious,6
69,Recovered,86
70,Susceptible,6
70,Infectious,6
70,Recovered,86
71,Susceptible,6
71,Infectious,6
71,Recovered,86
72,Susceptible,6
72,Infectious,6
72,Recovered,86
73,Susceptible,6
73,Infectious,6
73,Recovered,86
74,Susceptible,6
74,Infectious,6
74,Recovered,86
75,Susceptible,6
75,Infectious,6
75,Recovered,86
76,Susceptible,6
76,Infectious,6
76,Recovered,86
77,Susceptible,6
77,Infectious,6
77,Recovered,86
78,Susceptible,6
78,Infectious,6
78,Recovered,86
79,Susceptible,6
79,Infectious,6
79,Recovered,86
80,Susceptible,6
80,Infectious,6
80,Recovered,86
81,Susceptible,6
81,Infectious,6
81,Recovered,86
82,Susceptible,6
82,Infectious,6
82,Recovered,86
83,Susceptible,6
83,Infectious,6
83,Recovered,86
84,Susceptible,6
84,Infectious,6
84,Recovered,86
85,Susceptible,6
85,Infectious,6
85,Recovered,86
86,Susceptible,6
86,Infectious,6
86,Recovered,86
87,Susceptible,6
87,Infectious,6
87,Recovered,86
88,Susceptible,6
88,Infectious,6
88,Recovered,86
89,Susceptible,6
89,Infectious,6
89,Recovered,86
90,Susceptible,6
90,Infectious,6
90,Recovered,86
91,Susceptible,6
91,Infectious,6
91,Recovered,86
92,Susceptible,6
92,Infectious,6
92,Recovered,86
93,Susceptible,6
93,Infectious,6
93,Recovered,86
94,Susceptible,6
94,Infectious,6
94,Recovered,86
95,Susceptible,6
95,Infectious,6
95,Recovered,86
96,Susceptible,6
96,Infectious,6
96,Recovered,86
97,Susceptible,6
97,Infectious,6
97,Recovered,86
98,Susceptible,6
98,Infectious,6
98,Recovered,86
99,Susceptible,6
99,Infectious,6
99,Recovered,86
