Epoch,State,Count
0,Susceptible,26
0,Infectious,33
0,Recovered,40
1,Susceptible,15
1,Infectious,28
1,Recovered,56
2,Susceptible,17
2,Infectious,21
2,Recovered,60
3,Susceptible,18
3,Infectious,21
3,Recovered,59
4,Susceptible,17
4,Infectious,21
4,Recovered,60
5,Susceptible,17
5,Infectious,21
5,Recovered,60
6,Susceptible,18
6,Infectious,21
6,Recovered,60
7,Susceptible,18
7,Infectious,21
7,Recovered,60
8,Susceptible,17
8,Infectious,21
8,Recovered,60
9,Susceptible,17
9,Infectious,21
9,Recovered,60
10,Susceptible,17
10,Infectious,21
10,Recovered,61
11,Susceptible,17
11,Infectious,21
11,Recovered,61
12,Susceptible,18
12,Infectious,21
12,Recovered,60
13,Susceptible,17
13,Infectious,21
13,Recovered,60
14,Susceptible,17
14,Infectious,21
14,Recovered,60
15,Susceptible,18
15,Infectious,20
15,Recovered,61
16,Susceptible,18
16,Infectious,20
16,Recovered,60
17,Susceptible,18
17,Infectious,20
17,Recovered,61
18,Susceptible,18
18,Infectious,20
18,Recovered,60
19,Susceptible,18
19,Infectious,21
19,Recovered,60
20,Susceptible,18
20,Infectious,20
20,Recovered,61
21,Susceptible,18
21,Infectious,20
21,Recovered,61
22,Susceptible,18
22,Infectious,20
22,Recovered,61
23,Susceptible,18
23,Infectious,20
23,Recovered,60
24,Susceptible,18
24,Infectious,21
24,Recovered,60
25,Susceptible,18
25,Infectious,20
25,Recovered,61
26,Susceptible,18
26,Infectious,21
26,Recovered,60
27,Susceptible,17
27,Infectious,21
27,Recovered,61
28,Susceptible,17
28,Infectious,21
28,Recovered,60
29,Susceptible,17
29,Infectious,21
29,Recovered,60
30,Susceptible,17
30,Infectious,21
30,Recovered,61
31,Susceptible,18
31,Infectious,20
31,Recovered,61
32,Susceptible,18
32,Infectious,20
32,Recovered,61
33,Susceptible,18
33,Infectious,20
33,Recovered,61
34,Susceptible,18
34,Infectious,20
34,Recovered,61
35,Susceptible,18
35,Infectious,21
35,Recovered,60
36,Susceptible,18
36,Infectious,20
36,Recovered,60
37,Susceptible,18
37,Infectious,20
37,Recovered,60
38,Susceptible,17
38,Infectious,20
38,Recovered,61
39,Susceptible,17
39,Infectious,20
39,Recovered,61
40,Susceptible,18
40,Infectious,20
40,Recovered,60
41,Susceptible,17
41,Infectious,21
41,Recovered,60
42,Susceptible,18
42,Infectious,20
42,Recovered,61
43,Susceptible,18
43,Infectious,20
43,Recovered,60
44,Susceptible,18
44,Infectious,21
44,Recovered,60
45,Susceptible,18
45,Infectious,21
45,Recovered,60
46,Susceptible,18
46,Infectious,21
46,Recovered,60
47,Susceptible,17
47,Infectious,20
47,Recovered,61
48,Susceptible,18
48,Infectious,20
48,Recovered,61
49,Susceptible,18
49,Infectious,21
49,Recovered,60
50,Susceptible,17
50,Infectious,21
50,Recovered,61
51,Susceptible,18
51,Infectious,21
51,Recovered,60
52,Susceptible,17
52,Infectious,20
52,Recovered,61
53,Susceptible,18
53,Infectious,20
53,Recovered,61
54,Susceptible,18
54,Infectious,20
54,Recovered,60
55,Susceptible,18
55,Infectious,21
55,Recovered,60
56,Susceptible,18
56,Infectious,20
56,Recovered,61
57,Susceptible,17
57,Infectious,20
57,Recovered,61
58,Susceptible,18
58,Infectious,20
58,Recovered,60
59,Susceptible,18
59,Infectious,20
59,Recovered,60
60,Susceptible,18
60,Infectious,20
60,Recovered,60
61,Susceptible,18
61,Infectious,21
61,Recovered,60
62,Susceptible,17
62,Infectious,21
62,Recovered,60
63,Susceptible,17
63,Infectious,21
63,Recovered,61
64,Susceptible,18
64,Infectious,20
64,Recovered,61
65,Susceptible,18
65,Infectious,21
65,Recovered,60
66,Susceptible,17
66,Infectious,21
66,Recovered,61
67,Susceptible,18
67,Infectious,20
67,Recovered,61
68,Susceptible,17
68,Infectious,20
68,Recovered,61
69,Susceptible,18
69,Infectious,20
69,Recovered,61
70,Susceptible,18
70,Infectious,20
70,Recovered,60
71,Susceptible,18
71,Infectious,20
71,Recovered,60
72,Susceptible,17
72,Infectious,21
72,Recovered,60
73,Susceptible,18
73,Infectious,20
73,Recovered,61
74,Susceptible,18
74,Infectious,21
74,Recovered,60
75,Susceptible,18
75,Infectious,20
75,Recovered,61
76,Susceptible,18
76,Infectious,20
76,Recovered,61
77,Susceptible,18
77,Infectious,21
77,Recovered,60
78,Susceptible,17
78,Infectious,21
78,Recovered,61
79,Susceptible,18
79,Infectious,20
79,Recovered,61
80,Susceptible,18
80,Infectious,20
80,Recovered,61
81,Susceptible,18
81,Infectious,20
81,Recovered,60
82,Susceptible,17
82,Infectious,21
82,Recovered,60
83,Susceptible,18
83,Infectious,20
83,Recovered,61
84,Susceptible,17
84,Infectious,21
84,Recovered,61
85,Susceptible,17
85,Infectious,20
85,Recovered,61
86,Susceptible,18
86,Infectious,20
86,Recovered,61
87,Susceptible,18
87,Infectious,20
87,Recovered,61
88,Susceptible,18
88,Infectious,20
88,Recovered,60
89,Susceptible,17
89,Infectious,21
89,Recovered,61
90,Susceptible,18
90,Infectious,20
90,Recovered,61
91,Susceptible,18
91,Infectious,20
91,Recovered,60
92,Susceptible,18
92,Infectious,21
92,Recovered,60
93,Susceptible,18
93,Infectious,20
93,Recovered,61
94,Susceptible,18
94,Infectious,20
94,Recovered,60
95,Susceptible,17
95,Infectious,21
95,Recovered,61
96,Susceptible,18
96,Infectious,20
96,Recovered,61
97,Susceptible,18
97,Infectious,20
97,Recovered,60
98,Susceptible,17
98,Infectious,21
98,Recovered,60
99,Susceptible,18
99,Infectious,20
99,Recovered,61
